問題類型,單字,目前詞性,建議詞性,例句,來源,說明
同單字詞性矛盾,romantic,(n.),需人工確認,Her favorite movies are always about romance and adventure.,龍騰-B1-U2,"同一單字 ""romantic"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,romantic,(adj.),需人工確認,Princewill planned a romantic evening by the beach.,三民-B5-U3,"同一單字 ""romantic"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,row,(v.),需人工確認,We need to row the boat together to make it move.,康軒-B3-U6,"同一單字 ""row"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,row,(n.),需人工確認,We sat in the front row of the theater.,南一-B5-U5,"同一單字 ""row"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,run,(n.),需人工確認,He is going for a run in the park.,南一-B5-U2,"同一單字 ""run"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,run,(v.),需人工確認,My brother runs very fast and often wins races.,,"同一單字 ""run"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,sacrifice,(v.),需人工確認,The soldiers sacrificed their lives for their country at the,三民-B3-U2,"同一單字 ""sacrifice"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,scar,(n.),需人工確認,The surgery left a small scar on Rita's arm. If she didn’t t,三民-B3-U4,"同一單字 ""scar"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,scent,(n.),需人工確認,"The sweet scent of fresh flowers filled the store, making th",三民-B5-U2,"同一單字 ""scent"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,scrape,(v.),需人工確認,The tree branches scraped against the window during the typh,三民-B5-U5,"同一單字 ""scrape"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,second,(adj.),需人工確認,I live on the second floor.,翰林-B1-U5,"同一單字 ""second"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,secret,(n.),需人工確認,She told me a special secret.,康軒-B5-U6,"同一單字 ""secret"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,secure,(adj.),需人工確認,Jason spent lots of money on an alarm system in order to kee,三民-B3-U2,"同一單字 ""secure"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,separate,(v.),需人工確認,Jerry still doesn’t know how to separate egg whites from the,三民-B2-U7,"同一單字 ""separate"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,set,(v.),需人工確認,He set a good example for us.,翰林-B5-U2,"同一單字 ""set"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,set,(v.),需人工確認,Please set the timer for 10 minutes.,翰林-B5-U4,"同一單字 ""set"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,shadow,(n.),需人工確認,"In a cinema, anyone who stands and blocks the projector woul",三民-B4-U6,"同一單字 ""shadow"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,shape,(v.),需人工確認,Good habits shape who you become.,翰林-B5-U4,"同一單字 ""shape"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,shape,(v.),需人工確認,Our experiences shape who we are today.,南一-B3-U6,"同一單字 ""shape"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,shelter,(n.),需人工確認,"After losing her job and apartment, Sarah found temporary re",三民-B4-U8,"同一單字 ""shelter"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,shiver,(n.),需人工確認,The sudden cold breeze in the dark forest sent shivers down ,三民-B5-U5,"同一單字 ""shiver"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,show,(n.),需人工確認,We watched a great show last night.,翰林-B3-U2,"同一單字 ""show"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,show,(n.),需人工確認,What's your favorite TV show?,南一-B1-U1,"同一單字 ""show"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,sign,(n.),需人工確認,"That sign means ""no parking.""",康軒-B1-U2,"同一單字 ""sign"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,sign,(n.),需人工確認,The sign says “No Running.”,翰林-B1-U3,"同一單字 ""sign"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,signal,(v.),需人工確認,"The traffic policeman stood at the busy intersection, raisin",三民-B4-U4,"同一單字 ""signal"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,smile,(v.),需人工確認,She smiled at me in the hallway.,翰林-B5-U3,"同一單字 ""smile"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,smoke,(n.),需人工確認,We saw smoke coming from the kitchen.,翰林-B5-U6,"同一單字 ""smoke"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,smooth,(adj.),需人工確認,The project manager’s careful planning and attention to deta,三民-B3-U8,"同一單字 ""smooth"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,snow,(v.),需人工確認,It snows a lot in Hokkaido in winter.,翰林-B3-U1,"同一單字 ""snow"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,sob,(v.),需人工確認,"After her beloved pet’s passing, Violet buried her face in h",三民-B5-U5,"同一單字 ""sob"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,sound,(n.),需人工確認,I heard a strange sound.,翰林-B3-U5,"同一單字 ""sound"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,sound,(v.),需人工確認,"The story sounds crazy, but it is actually true.",翰林-B4-U1,"同一單字 ""sound"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,south,(n.),需人工確認,Many people go to the south for vacation in winter.,康軒-B3-U6,"同一單字 ""south"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,span,(v.),需人工確認,"The Great Wall of China spans various landscapes, including ",三民-B4-U4,"同一單字 ""span"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,spell,(v.),需人工確認,Can you spell your name for me?,翰林-B5-U2,"同一單字 ""spell"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,spell,(n.),需人工確認,The wizard said a magic spell to open the door.,翰林-B5-U6,"同一單字 ""spell"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,spin,(n.),需人工確認,"The politician tried to put a positive spin on his policy, y",三民-B2-U2,"同一單字 ""spin"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,spot,(v.),需人工確認,Can you spot the difference between these two pictures?,康軒-B6-U1,"同一單字 ""spot"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,spot,(v.),需人工確認,Troy spotted a strange man entering his neighbor’s house thr,三民-B2-U5,"同一單字 ""spot"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,spread,(v.),需人工確認,Spreading fake news on social media may cause panic among th,三民-B2-U8,"同一單字 ""spread"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,square,(adj.),需人工確認,She drew a square box for her homework.,翰林-B5-U5,"同一單字 ""square"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,squeeze,(v.),需人工確認,"After a ten-minute search for a parking spot, I finally foun",三民-B3-U6,"同一單字 ""squeeze"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,stability,(adj.),需人工確認,The old table isn't very stable; be careful not to knock it ,龍騰-B3-U2,"同一單字 ""stability"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,stall,(n.),需人工確認,My favorite food stall is the one that sells noodles.,康軒-B3-U5,"同一單字 ""stall"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,stall,(n.),需人工確認,Vanessa bought some cute souvenirs from a market stall for h,三民-B5-U2,"同一單字 ""stall"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,stand,(v.),需人工確認,I can't stand the noise from the street.,南一-B3-U2,"同一單字 ""stand"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,stand,(n.),需人工確認,There was a food stand near the park yesterday evening.,翰林-B4-U5,"同一單字 ""stand"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,stare,(v.),需人工確認,"Sherry often sits quietly, staring into space, lost in her o",三民-B4-U3,"同一單字 ""stare"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,start,(v.),需人工確認,We start school at 8 a.m.,翰林-B3-U2,"同一單字 ""start"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,state,(v.),需人工確認,The witness clearly stated what she saw at the crime scene.,,"同一單字 ""state"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,state,(n.),需人工確認,"Adam rarely spoke after he returned from the war, and it mad",三民-B2-U4,"同一單字 ""state"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,stay,(v.),需人工確認,Can you stay for dinner tonight?,康軒-B3-U2,"同一單字 ""stay"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,stray,(n.),需人工確認,The cat keeps wandering in the neighborhood. I think it must,三民-B4-U8,"同一單字 ""stray"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,study,(v.),需人工確認,I study English every night.,翰林-B1-U4,"同一單字 ""study"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,study,(v.),需人工確認,You need to study hard for the test.,南一-B3-U1,"同一單字 ""study"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,supply,(v.),需人工確認,The charity aims to supply families in need with essential f,三民-B3-U6,"同一單字 ""supply"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,surge,(n.),需人工確認,Dietary changes and increased fitness awareness led to a sur,三民-B5-U1,"同一單字 ""surge"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,surprise,(n.),需人工確認,We planned a surprise for Mom's birthday.,康軒-B5-U2,"同一單字 ""surprise"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,suspect,(v.),需人工確認,"Seeing the muddy footprints, the detectives suspected the th",三民-B4-U8,"同一單字 ""suspect"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,sweat,(v.),需人工確認,The farmer started to sweat heavily when working in the hot ,三民-B4-U2,"同一單字 ""sweat"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,sweet,(adj.),需人工確認,That is a very sweet story.,南一-B3-U1,"同一單字 ""sweet"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,sweet,(adj.),需人工確認,This cake is too sweet for me.,翰林-B2-U3,"同一單字 ""sweet"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,tape,(v.),需人工確認,Dad taped the poster on the wall.,翰林-B5-U6,"同一單字 ""tape"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,third,(adj.),需人工確認,This is my third time here.,翰林-B1-U5,"同一單字 ""third"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,tip,(v.),需人工確認,We left a tip on the table for the waiter.,康軒-B5-U2,"同一單字 ""tip"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,top,(n.),需人工確認,We climbed to the top of the hill.,康軒-B3-U3,"同一單字 ""top"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,toss,(v.),需人工確認,Many tourists toss a coin into the water and make a wish whe,三民-B4-U3,"同一單字 ""toss"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,total,(n.),需人工確認,The total of the bill is $50.,康軒-B5-U6,"同一單字 ""total"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,trace,(v.),需人工確認,The origin of life on Earth can be traced back to the ocean ,三民-B2-U1,"同一單字 ""trace"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,track,(n.),需人工確認,The workers are replacing the tracks of the railroad which w,三民-B2-U1,"同一單字 ""track"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,train,(v.),需人工確認,She is trying to train her new puppy.,康軒-B3-U4,"同一單字 ""train"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,transform,(v.),需人工確認,The caterpillar will transform into a beautiful butterfly.,龍騰-B3-U4,"同一單字 ""transform"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,transit,(n.),需人工確認,"Please track the status of your order, as it is currently in",三民-B4-U1,"同一單字 ""transit"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,transplant,(n.),需人工確認,,三民-B2-U6,"同一單字 ""transplant"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,tremble,(v.),需人工確認,When Carol found out her husband had come back from the war ,三民-B5-U5,"同一單字 ""tremble"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,trick,(n.),需人工確認,The magician showed us a cool card trick.,康軒-B5-U6,"同一單字 ""trick"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,trick,(v.),需人工確認,Don't try to trick me—I know the truth!,翰林-B5-U2,"同一單字 ""trick"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,trigger,(v.),需人工確認,The news of the job cuts triggered a strong reaction from th,三民-B5-U4,"同一單字 ""trigger"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,trip,(n.),需人工確認,Our family is planning a road trip this summer.,康軒-B3-U5,"同一單字 ""trip"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,trip,(n.),需人工確認,How was your trip to Japan?,南一-B2-U2,"同一單字 ""trip"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,trust,(n.),需人工確認,You can put your trust in Anita. She always keeps her word.,三民-B2-U7,"同一單字 ""trust"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,try,(v.),需人工確認,You should try this cake; it's very delicious.,康軒-B3-U2,"同一單字 ""try"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,turn,(n.),需人工確認,It's your turn to answer the question.,翰林-B1-U3,"同一單字 ""turn"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,turn,(n.),需人工確認,It is your turn to wash the dishes tonight.,康軒-B6-U2,"同一單字 ""turn"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,type,(n.),需人工確認,I like every type of music.,康軒-B1-U3,"同一單字 ""type"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,type,(n.),需人工確認,"I like every type of music, especially pop.",康軒-B5-U1,"同一單字 ""type"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,underlying,(v.),需人工確認,Stress is often the underlying cause of many health problems,,"同一單字 ""underlying"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,underlying,(adj.),需人工確認,While unemployment may not directly contribute to individual,三民-B4-U8,"同一單字 ""underlying"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,volunteer,(n.),需人工確認,"Because of his love for art, Jason worked as a volunteer at ",三民-B3-U6,"同一單字 ""volunteer"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,vote,(v.),需人工確認,"Amy decided to vote for the new environmental regulations, b",三民-B3-U3,"同一單字 ""vote"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,vow,(v.),需人工確認,The soldiers vowed to defend their country with their lives.,三民-B5-U3,"同一單字 ""vow"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,wag,(v.),需人工確認,The happy dog wagged its tail excitedly as its owner came ho,三民-B4-U8,"同一單字 ""wag"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,waste,(v.),需人工確認,Don't waste water when brushing your teeth.,康軒-B5-U6,"同一單字 ""waste"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,water,(n.),需人工確認,Please give me a glass of water.,南一-B1-U4,"同一單字 ""water"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,water,(n.),需人工確認,Please give me a glass of water.,翰林-B2-U4,"同一單字 ""water"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,wave,(v.),需人工確認,The teacher waved goodbye to us after class.,康軒-B5-U1,"同一單字 ""wave"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,wave,(n.),需人工確認,I love the sound of the ocean waves.,南一-B5-U4,"同一單字 ""wave"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,weave,(v.),需人工確認,"Cathy wove her personal experience into her novel, and it ad",三民-B4-U5,"同一單字 ""weave"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,west,(n.),需人工確認,The sun sets in the west.,康軒-B3-U6,"同一單字 ""west"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,win,(v.),需人工確認,We hope to win the basketball game.,康軒-B2-U1,"同一單字 ""win"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,win,(n.),需人工確認,The team celebrated their big win.,南一-B2-U5,"同一單字 ""win"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,wish,(n.),需人工確認,I made a birthday wish.,翰林-B5-U1,"同一單字 ""wish"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,wonder,(v.),需人工確認,I wonder what he is doing right now.,南一-B5-U4,"同一單字 ""wonder"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,wonder,(v.),需人工確認,"As kids grow older, they start to wonder whether Santa Claus",三民-B2-U3,"同一單字 ""wonder"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,worry,(v.),需人工確認,Don't worry. Everything will be fine.,康軒-B1-U6,"同一單字 ""worry"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,worry,(v.),需人工確認,"Don't worry, everything will be fine.",翰林-B3-U4,"同一單字 ""worry"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,zone,(n.),需人工確認,"Bombs were dropped over the war zone day after day, causing ",三民-B4-U3,"同一單字 ""zone"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
單字與例句不符,arrival,(v.),(v.),We should arrive at the train station an hour before the departure time.,龍騰-B3-U4,"例句使用 ""arrive"" 的變化形，但單字是 ""arrival""。建議改單字為 ""arrive"" 或換例句。"
單字與例句不符,impressive,(v.),(v.),His quick thinking really impressed everyone during the crisis.,龍騰-B1-U3,"例句使用 ""impress"" 的變化形，但單字是 ""impressive""。建議改單字為 ""impress"" 或換例句。"
詞性標記錯誤,arrival,(v.),(n.),We should arrive at the train station an hour before the departure time.,龍騰-B3-U4,"""arrival"" 結尾是 -ival，通常是名詞或形容詞，不是動詞"
詞性標記錯誤,disable,(v.),(adj.),"A serious accident can disable a person, making it hard for them to walk.",,"""disable"" 結尾是 -able，通常是名詞或形容詞，不是動詞"
詞性標記錯誤,enable,(v.),(adj.),This new software will enable us to work more efficiently.,龍騰-B3-U3,"""enable"" 結尾是 -able，通常是名詞或形容詞，不是動詞"
詞性標記錯誤,enable,(v.),(adj.),The High Speed Rail enables commuters to travel from Taichung to Taipei in about,三民-B2-U4,"""enable"" 結尾是 -able，通常是名詞或形容詞，不是動詞"
詞性標記錯誤,impressive,(v.),(adj.),His quick thinking really impressed everyone during the crisis.,龍騰-B1-U3,"""impressive"" 結尾是 -sive，通常是名詞或形容詞，不是動詞"
詞性標記錯誤,rival,(v.),(n.),"Having traveled to more than thirty countries around the world, Andrew thinks no",三民-B4-U3,"""rival"" 結尾是 -ival，通常是名詞或形容詞，不是動詞"
